2023-01-30 09:31:31 200 GET / HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 - 0:0:0:0:0:0:0:1 11884
2023-01-30 09:31:31 200 GET /assets/css/style.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/ 0:0:0:0:0:0:0:1 64855
2023-01-30 09:31:31 200 GET /assets/images/indexImage/1.jpg HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/ 0:0:0:0:0:0:0:1 154805
2023-01-30 09:31:31 200 GET /assets/js/jquery.easing.js HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/ 0:0:0:0:0:0:0:1 4863
2023-01-30 09:31:31 200 GET /assets/js/bootstrap.bundle.min.js HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/ 0:0:0:0:0:0:0:1 78699
2023-01-30 09:31:31 200 GET /assets/css/ntfs.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/assets/css/style.css 0:0:0:0:0:0:0:1 5132
2023-01-30 09:31:31 200 GET /assets/js/count-down.js HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/ 0:0:0:0:0:0:0:1 5420
2023-01-30 09:31:31 200 GET /assets/js/bootstrap.min.js HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/ 0:0:0:0:0:0:0:1 63430
2023-01-30 09:31:31 200 GET /assets/js/mystudyroom.js HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/ 0:0:0:0:0:0:0:1 5052
2023-01-30 09:31:31 200 GET /assets/css/shortcodes.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/assets/css/style.css 0:0:0:0:0:0:0:1 182630
2023-01-30 09:31:31 200 GET /assets/css/responsive.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/assets/css/style.css 0:0:0:0:0:0:0:1 28960
2023-01-30 09:31:31 200 GET /assets/css/animate.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/assets/css/style.css 0:0:0:0:0:0:0:1 27785
2023-01-30 09:31:31 200 GET /assets/css/jquery.fancybox.min.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/assets/css/style.css 0:0:0:0:0:0:0:1 13735
2023-01-30 09:31:31 200 GET /assets/js/jquery.min.js HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/ 0:0:0:0:0:0:0:1 89501
2023-01-30 09:31:31 200 GET /assets/css/font-awesome.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/assets/css/style.css 0:0:0:0:0:0:0:1 224958
2023-01-30 09:31:31 200 GET /assets/css/bootstrap.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/assets/css/style.css 0:0:0:0:0:0:0:1 200887
2023-01-30 09:31:31 200 GET /assets/css/swiper-bundle.min.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/assets/css/style.css 0:0:0:0:0:0:0:1 13972
2023-01-30 09:31:31 200 GET /assets/js/nft.js HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/ 0:0:0:0:0:0:0:1 1055
2023-01-30 09:31:31 200 GET /assets/js/main.js HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/ 0:0:0:0:0:0:0:1 12484
2023-01-30 09:31:31 200 GET /assets/js/swiper.js HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/ 0:0:0:0:0:0:0:1 11005
2023-01-30 09:31:31 200 GET /assets/js/plugin.js HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/ 0:0:0:0:0:0:0:1 57232
2023-01-30 09:31:31 200 GET /assets/js/shortcodes.js HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/ 0:0:0:0:0:0:0:1 32859
2023-01-30 09:31:31 200 GET /assets/js/price-ranger.js HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/ 0:0:0:0:0:0:0:1 71650
2023-01-30 09:31:31 200 GET /assets/js/wow.min.js HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/ 0:0:0:0:0:0:0:1 8427
2023-01-30 09:31:31 200 GET /assets/js/translate.js HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/ 0:0:0:0:0:0:0:1 1017
2023-01-30 09:31:31 200 GET /assets/images/indexImage/2.jpg HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/ 0:0:0:0:0:0:0:1 114014
2023-01-30 09:31:31 200 GET /assets/images/indexImage/3.jpg HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/ 0:0:0:0:0:0:0:1 47078
2023-01-30 09:31:31 200 GET /assets/images/indexImage/4.jpg HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/ 0:0:0:0:0:0:0:1 110626
2023-01-30 09:31:31 200 GET /assets/images/box-item/item-h5.2.png HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/ 0:0:0:0:0:0:0:1 2484
2023-01-30 09:31:31 200 GET /assets/images/box-item/item-h5.3.png HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 http://localhost:8888/ 0:0:0:0:0:0:0:1 2484
